domain count growth
@91.com 875 77.63
@citiz.com 1060 41.64
@163.net 835 39.91
@netease.com 1095 37.61
@yahoo.com.cn 910 33.42
@qq.com 1340 5.56
@email.com.cn 1190 3.82
@msn.com 1420 1.97
@eastday.com 1215 -2.83
@21cn.com 1210 -3.96
@265.com 1470 -4.8
@yeah.net 1280 -4.84
@35.com 1180 -4.91
@china.com 1140 -5.24
@eyou.com 1370 -5.48
@56.com 1555 -5.66
@hotmail.com 1695 -5.83
@tom.com 1570 -5.83
@sogou@com 1350 -6.24
@sohu.com 1375 -6.36
@enet.com.cn 1240 -6.5
@xinhuanet 1065 -7.09
@163.com 1140 -7.43
@263.net 1350 -7.46
@126.com 1090 -7.95
@etang.com 1190 -8.31
@sina.com 1315 -8.67
